metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus_max,1700180311,1.000000,,,,,,,,,,,,,,,,
vus,1700180312,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180312,1.000000,,,,,,,,,,,,,,,,
vus,1700180313,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180313,1.000000,,,,,,,,,,,,,,,,
vus,1700180314,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180314,1.000000,,,,,,,,,,,,,,,,
vus,1700180315,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180315,1.000000,,,,,,,,,,,,,,,,
vus,1700180316,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180316,1.000000,,,,,,,,,,,,,,,,
vus,1700180317,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180317,1.000000,,,,,,,,,,,,,,,,
vus,1700180318,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180318,1.000000,,,,,,,,,,,,,,,,
vus,1700180319,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180319,1.000000,,,,,,,,,,,,,,,,
vus,1700180320,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180320,1.000000,,,,,,,,,,,,,,,,
vus,1700180321,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180321,1.000000,,,,,,,,,,,,,,,,
vus,1700180322,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180322,1.000000,,,,,,,,,,,,,,,,
vus,1700180323,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180323,1.000000,,,,,,,,,,,,,,,,
vus,1700180324,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180324,1.000000,,,,,,,,,,,,,,,,
vus,1700180325,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180325,1.000000,,,,,,,,,,,,,,,,
vus,1700180326,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180326,1.000000,,,,,,,,,,,,,,,,
vus,1700180327,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180327,1.000000,,,,,,,,,,,,,,,,
vus,1700180328,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180328,1.000000,,,,,,,,,,,,,,,,
vus,1700180329,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180329,1.000000,,,,,,,,,,,,,,,,
vus,1700180330,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180330,1.000000,,,,,,,,,,,,,,,,
vus,1700180331,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180331,1.000000,,,,,,,,,,,,,,,,
vus,1700180332,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180332,1.000000,,,,,,,,,,,,,,,,
vus,1700180333,1.000000,,,,,,,,,,,,,,,,
